attempt_id,student_id,exercise_id,concept_code,secondary_concept_code,occurred_at,received_at,ingestion_lag_seconds,session_id,lesson_phase,is_correct,skipped,used_hint,attempt_number,difficulty,response_time_ms,days_since_last_practice,prerequisite_mastery,latent_ability,probability_correct,misconception_code,connectivity_mode,data_quality_flags,data_notice
attempt-0001,student-01,ex-02-02,PYTHON_OPERATORS,,2026-06-01T09:23:57.176733+00:00,2026-06-01T14:36:12.176733+00:00,18735,session-student-01-000,PRACTICE,1,0,1,1,0.352,260000,2.197,0.907,0.873,0.889,,OFFLINE_SYNC,LATE_EVENT|IMPLAUSIBLY_FAST|LONG_RESPONSE|OFFLINE_BATCH,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0002,student-02,ex-02-03,PYTHON_OPERATORS,,2026-06-01T12:44:37.117850+00:00,2026-06-01T12:44:56.117850+00:00,19,session-student-02-000,PRACTICE,1,0,0,1,0.462,26603,3.082,0.995,0.916,0.8434,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0003,student-03,ex-01-02,PYTHON_VARIABLES,,2026-06-01T14:40:29.091871+00:00,2026-06-01T14:40:37.091871+00:00,8,session-student-03-000,PRACTICE,1,0,1,1,0.308,18718,1.946,0.466,0.642,0.6508,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0004,student-04,ex-08-01,PYTHON_FUNCTIONS,,2026-06-01T17:45:08.606571+00:00,2026-06-01T17:45:16.606571+00:00,8,session-student-04-000,PRACTICE,1,0,0,1,0.229,20440,4.243,0.717,0.791,0.9005,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0005,student-05,ex-07-03,PYTHON_LISTS,,2026-06-01T20:54:30.500777+00:00,2026-06-01T20:54:54.500777+00:00,24,session-student-05-000,PRACTICE,1,0,0,1,0.42,21790,0.932,0.301,0.357,0.2161,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0006,student-06,ex-02-04,PYTHON_OPERATORS,,2026-06-02T00:51:51.150727+00:00,2026-06-02T00:52:03.150727+00:00,12,session-student-06-000,PRACTICE,0,0,1,1,0.552,9327,4.884,0.83,0.856,0.8213,,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0007,student-07,ex-04-06,PYTHON_FOR,PYTHON_IF_ELSE,2026-06-02T04:44:19.926024+00:00,2026-06-02T04:44:34.926024+00:00,15,session-student-07-000,CHECKPOINT,1,0,0,1,0.791,33123,0.252,0.686,0.607,0.2928,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0008,student-08,ex-01-04,PYTHON_VARIABLES,,2026-06-02T06:54:28.729867+00:00,2026-06-02T06:54:41.729867+00:00,13,session-student-08-000,PRACTICE,1,0,0,1,0.543,38129,23.543,0.667,0.664,0.398,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0009,student-10,ex-05-02,PYTHON_RANGE,,2026-06-02T10:15:23.946644+00:00,2026-06-02T10:15:30.946644+00:00,7,session-student-10-000,PRACTICE,0,1,0,1,0.324,13033,0.468,0.617,0.638,0.6431,,STABLE,SKIPPED,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0010,student-10,ex-06-05,PYTHON_WHILE,,2026-06-02T14:00:11.113349+00:00,2026-06-02T14:00:21.113349+00:00,10,session-student-10-000,PRACTICE,0,0,0,1,0.641,28083,3.035,0.898,0.86,0.7517,WHILE_VARIABLE_NOT_UPDATED,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
