student_id,concept_code,latent_ability,data_notice
student-01,PYTHON_VARIABLES,0.687,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-01,PYTHON_OPERATORS,0.873,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-01,PYTHON_IF_ELSE,0.8483,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-01,PYTHON_FOR,0.8166,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-01,PYTHON_RANGE,0.7481,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-01,PYTHON_WHILE,0.8105,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-01,PYTHON_LISTS,0.8473,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-01,PYTHON_FUNCTIONS,0.8878,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-02,PYTHON_VARIABLES,0.721,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-02,PYTHON_OPERATORS,0.916,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-02,PYTHON_IF_ELSE,0.8796,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-02,PYTHON_FOR,0.7808,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-02,PYTHON_RANGE,0.7292,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-02,PYTHON_WHILE,0.8924,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-02,PYTHON_LISTS,0.8242,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-02,PYTHON_FUNCTIONS,0.7967,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-03,PYTHON_VARIABLES,0.6423,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-03,PYTHON_OPERATORS,0.433,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-03,PYTHON_IF_ELSE,0.6569,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-03,PYTHON_FOR,0.6191,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-03,PYTHON_RANGE,0.24,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-03,PYTHON_WHILE,0.5877,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-03,PYTHON_LISTS,0.5722,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-03,PYTHON_FUNCTIONS,0.58,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-04,PYTHON_VARIABLES,0.8485,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-04,PYTHON_OPERATORS,0.795,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-04,PYTHON_IF_ELSE,0.7068,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-04,PYTHON_FOR,0.756,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-04,PYTHON_RANGE,0.6161,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-04,PYTHON_WHILE,0.2,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-04,PYTHON_LISTS,0.8204,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-04,PYTHON_FUNCTIONS,0.7909,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-05,PYTHON_VARIABLES,0.26,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-05,PYTHON_OPERATORS,0.26,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-05,PYTHON_IF_ELSE,0.5408,SYNTHETIC DATA — NOT REAL EDUONE DATA
