exercise_id,concept_code,secondary_concept_code,difficulty,exercise_type,data_notice
ex-01-01,PYTHON_VARIABLES,,0.244,MULTIPLE_CHOICE,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-01-02,PYTHON_VARIABLES,,0.308,PREDICT_OUTPUT,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-01-03,PYTHON_VARIABLES,,0.434,CODE_ORDER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-01-04,PYTHON_VARIABLES,,0.543,BUG_HUNTER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-01-05,PYTHON_VARIABLES,,0.664,RANGE_RUNNER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-01-06,PYTHON_VARIABLES,PYTHON_VARIABLES,0.782,CHECKPOINT,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-02-01,PYTHON_OPERATORS,,0.198,MULTIPLE_CHOICE,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-02-02,PYTHON_OPERATORS,,0.352,PREDICT_OUTPUT,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-02-03,PYTHON_OPERATORS,,0.462,CODE_ORDER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-02-04,PYTHON_OPERATORS,,0.552,BUG_HUNTER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-02-05,PYTHON_OPERATORS,,0.681,RANGE_RUNNER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-02-06,PYTHON_OPERATORS,PYTHON_VARIABLES,0.78,CHECKPOINT,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-03-01,PYTHON_IF_ELSE,,0.217,MULTIPLE_CHOICE,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-03-02,PYTHON_IF_ELSE,,0.337,PREDICT_OUTPUT,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-03-03,PYTHON_IF_ELSE,,0.421,CODE_ORDER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-03-04,PYTHON_IF_ELSE,,0.557,BUG_HUNTER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-03-05,PYTHON_IF_ELSE,,0.674,RANGE_RUNNER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-03-06,PYTHON_IF_ELSE,PYTHON_OPERATORS,0.781,CHECKPOINT,SYNTHETIC DATA — NOT REAL EDUONE DATA
