misconception_code,concept_code,data_notice
RANGE_STOP_INCLUDED,PYTHON_RANGE,SYNTHETIC DATA — NOT REAL EDUONE DATA
ASSIGNMENT_VS_COMPARISON,PYTHON_IF_ELSE,SYNTHETIC DATA — NOT REAL EDUONE DATA
WHILE_VARIABLE_NOT_UPDATED,PYTHON_WHILE,SYNTHETIC DATA — NOT REAL EDUONE DATA
LIST_INDEX_STARTS_AT_ONE,PYTHON_LISTS,SYNTHETIC DATA — NOT REAL EDUONE DATA
STRING_NUMBER_CONFUSION,PYTHON_VARIABLES,SYNTHETIC DATA — NOT REAL EDUONE DATA
IF_INDENTATION_ERROR,PYTHON_IF_ELSE,SYNTHETIC DATA — NOT REAL EDUONE DATA
FOR_ITERATION_COUNT,PYTHON_FOR,SYNTHETIC DATA — NOT REAL EDUONE DATA
BOOLEAN_LOGIC_CONFUSION,PYTHON_OPERATORS,SYNTHETIC DATA — NOT REAL EDUONE DATA
FUNCTION_RETURN_VS_PRINT,PYTHON_FUNCTIONS,SYNTHETIC DATA — NOT REAL EDUONE DATA
VARIABLE_UPDATE_ORDER,PYTHON_VARIABLES,SYNTHETIC DATA — NOT REAL EDUONE DATA
